"","Start_Date","mean","q10","q50","q90"
"1",2018-01-01,13893.2351829513,12918.153462384,13268.654815054,14793.9927630488
"2",2018-01-02,14288.6289385215,13476.7372973102,13588.4217829103,15225.5035792771
"3",2018-01-03,15067.9783927668,13955.9187793129,15090.7282585711,15663.9488379315
"4",2018-01-04,16317.1666677875,16067.5028768653,16157.6654685803,16725.6258472339
"5",2018-01-05,16540.4798627774,15449.5737260134,15709.1253360939,17802.678213287
"6",2018-01-08,11833.613715908,11169.8929888011,11291.6436868674,12543.1283379377
"7",2018-01-09,13498.7619036631,11937.860651962,12301.2028340936,15226.8411379101
"8",2018-01-10,16811.4314229216,16138.9182653102,16686.7116539485,17233.7928398005
"9",2018-01-11,16603.0825898067,15949.0058635676,16409.8174020451,17168.5991607204
"10",2018-01-12,15347.3484706267,15054.7141214231,15306.6993513563,15709.6980118491
"11",2018-01-15,13904.6895372801,12040.4189640031,12774.264285508,15468.7882369951
"12",2018-01-16,13814.6393265786,11920.8537921669,12203.4056364705,15568.8851559305
"13",2018-01-17,15930.2553672784,13891.7888520888,13915.133110933,18144.2081473807
"14",2018-01-18,17061.8777964733,16648.2838688186,16667.0288830638,17926.0184911892
"15",2018-01-19,16810.8261411687,16670.6882506774,16773.2273639602,16931.5238229933
"16",2018-01-22,12596.4930333275,9027.79744816866,9352.93443706956,16145.1430564423
"17",2018-01-23,14386.5325062931,12133.1399860937,12379.468443074,16687.0890383213
"18",2018-01-24,15585.6775968814,15068.230085401,15186.7573911555,16062.6845797685
"19",2018-01-25,17041.7869539378,15946.9094355041,16118.0007316918,18170.017085354
"20",2018-01-26,16931.873170771,16132.1877473235,16262.1945264252,17775.8692444927
"21",2018-01-29,15943.252743352,15884.4944440989,15954.3214001595,15978.7056329531
"22",2018-01-30,17014.052398176,15876.2946665721,16540.4544528876,18213.6414539441
"23",2018-01-31,17901.6435677527,17189.7233667992,17275.9015478581,18602.5436853417
"24",2018-02-01,16742.1894297799,15691.6615593597,16136.8359673137,17681.0008717952
"25",2018-02-02,17890.8176154287,16831.9786715126,17423.6053911279,18783.6828310586
"26",2018-02-05,17033.7648075481,14254.7256487247,14592.8749857159,20363.3906653063
"27",2018-02-06,18159.0731643312,17197.1970217901,17268.0424580773,19476.5011625214
"28",2018-02-07,17952.7190822354,16376.9887157543,16877.0842248727,19294.6354231452
"29",2018-02-08,18583.9147957078,17137.889888861,17589.2402855543,20181.1097607502
"30",2018-02-09,16558.5886414606,13195.6911577882,13371.3275589399,19908.1448607309
"31",2018-02-12,16050.8443833411,15151.1725707622,15204.2419727151,17351.3996849287
"32",2018-02-13,17570.322813303,17116.5632636282,17517.0400451165,17879.5497608733
"33",2018-02-14,18856.5788448657,17851.1997765076,18124.2541108506,19791.8562507961
"34",2018-02-15,19581.3305884327,18815.0329087313,19196.4626057965,20437.2278205428
"35",2018-02-16,20618.5497674283,20108.137423058,20131.0715579665,21433.1298113916
"36",2018-02-19,18490.8383440466,16903.6544229846,17505.1257493488,19803.0163739573
"37",2018-02-20,18948.7768780558,18556.2209277364,18670.8548024668,19553.86969801
"38",2018-02-21,19921.0308221995,19755.560284982,19847.7040566683,20167.732946696
"39",2018-02-22,19888.6259861779,19763.2898836083,19771.2977470473,20035.2853446728
"40",2018-02-23,18383.6173448375,16259.9357006041,16466.3119129339,20455.1460433216
"41",2018-02-26,18586.1413521269,17035.5312887337,17644.8201354345,20253.1667831463
"42",2018-02-27,19617.4497547944,18549.2996289919,18929.729156712,20766.2415345343
"43",2018-02-28,20317.3932169627,18614.8383918,18857.5330825423,21901.0325796877
"44",2018-03-01,20714.4625879936,19915.7704375677,20176.3709819711,21483.4590009566
"45",2018-03-02,21381.4293467744,19521.7658061548,20162.3062236855,23037.6092212511
"46",2018-03-05,19927.9279909566,19657.4893558477,19729.4001891331,20292.1863579196
"47",2018-03-06,20365.111773631,19819.8268716659,20258.2252656349,20740.0898033032
"48",2018-03-07,20444.7660676243,18743.3948289495,18992.845441957,22058.2279598292
"49",2018-03-08,21047.7848436844,18761.1973139879,19132.7799218622,23558.6245253446
"50",2018-03-09,21628.2885910914,18037.7484776798,18170.0361215079,25517.9252637063
"51",2018-03-12,22131.1854170996,18623.3777242784,19202.9742113752,25379.6404171008
"52",2018-03-13,21483.6531943795,18660.1839891874,18754.8996273959,24319.4410983322
"53",2018-03-14,22374.5626251863,19791.7897350533,19979.4714536081,25143.0487787801
"54",2018-03-15,22460.6999764304,18330.7803026393,18415.9074251497,26648.0151311624
"55",2018-03-16,22731.0452893737,20086.7055854289,20308.6356702632,25267.3385531116
"56",2018-03-19,21671.3611636808,18426.0253959495,19364.7054535291,24753.3176152743
"57",2018-03-20,21888.4596032007,19578.4296349458,19848.6007718478,24455.2057225949
"58",2018-03-21,21611.0383086116,19942.5783104325,20598.9652142272,23179.8096677402
"59",2018-03-22,22301.0501156014,19572.6397136999,19645.2483390056,25155.2425785916
"60",2018-03-23,22093.6192044411,20105.6377913511,20220.4814418707,24049.7117933131
"61",2018-03-26,22624.0867218447,19358.5753028701,19599.3980221613,25780.8018026529
"62",2018-03-27,20976.1467292376,17523.4750824589,18222.1491035159,24166.4973466589
"63",2018-03-28,20882.2379422207,18574.55376737,19250.5860840022,23036.1389937947
"64",2018-03-29,20875.3052991015,18318.8148920879,18475.8671283699,23526.9175692997
"65",2018-03-30,22237.3199180338,19751.0357851064,19765.141832283,25217.5647271653
"66",2018-04-02,21188.7992899346,19551.1651066895,20019.1325688981,22867.7405178163
"67",2018-04-03,21248.6339862978,19582.2053948053,20552.7929395446,22748.8667000705
"68",2018-04-04,20987.1141628798,18184.8239687995,18722.2232022341,23725.3565330913
"69",2018-04-05,21323.5269895372,18862.3383728529,19688.9146593964,23953.5631497104
"70",2018-04-06,21252.7953980823,19903.6098597126,19908.8698787197,22641.2458380861
"71",2018-04-09,17864.4093235979,16578.0201169626,16623.1002921857,19511.6451683555
"72",2018-04-10,18011.4943216701,16518.075703895,16916.8985017699,19643.2152692082
"73",2018-04-11,18791.1582858403,16467.2379416748,16910.595270066,20912.2262685858
"74",2018-04-12,20401.0459118736,18452.3122219322,18714.8562898959,22283.4361418411
"75",2018-04-13,20563.2198834372,19297.9563045214,19917.2871805933,21829.3801434134
"76",2018-04-16,20458.2826970041,20087.5078593044,20355.277266487,20967.1139213564
"77",2018-04-17,21000.0097919595,20264.5868486559,20395.9461999433,21714.0105215168
"78",2018-04-18,20057.4380327994,19273.2810263696,19509.727764425,21025.1054457245
"79",2018-04-19,20655.5428622656,20027.3805973409,20634.1143272567,21326.26365519
"80",2018-04-20,19846.0281159466,19458.8125615342,19484.7971772431,20331.548702039
"81",2018-04-23,20018.0426747058,18604.0625980756,19517.8822017456,21277.1359414222
"82",2018-04-24,19601.6211315643,18861.0477665429,19575.8169505119,20079.2715302399
"83",2018-04-25,19912.0496986705,19621.2070141815,19785.6769746073,20264.8522899094
"84",2018-04-26,23353.2417195372,20669.0288178989,21821.7254051569,25642.3212597605
"85",2018-04-27,22371.1297062886,22130.3001979948,22411.1454792394,22508.2564820115
"86",2018-04-30,21600.9140842468,20196.6330235784,20943.9310764108,23035.3582789291
"87",2018-05-01,21210.2068300415,20847.9129303347,20982.4428562378,21511.5434974994
"88",2018-05-02,20201.8828330758,19411.4008325035,19667.2224816054,21023.9188587412
"89",2018-05-03,19618.9309727756,19023.5110812414,19532.2873147191,20171.3178138781
"90",2018-05-04,20639.7858696629,19384.0265267691,20362.7353183289,21689.5344776692
"91",2018-05-07,20426.7903637229,20176.4623397132,20370.5227714206,20669.8092604652
"92",2018-05-08,19035.3850045098,18259.4913130692,18928.7365536308,19491.0702977956
"93",2018-05-09,19987.8599360265,18083.3499391294,18646.3625583369,21649.9158085579
"94",2018-05-10,20674.3444601413,18447.4123320529,18658.119738748,22887.8682689209
"95",2018-05-11,20094.5837887165,19761.7445302185,19893.9232615465,20369.446009525
"96",2018-05-14,18564.7165797939,17323.645748159,17370.1280103384,19855.1351760717
"97",2018-05-15,17584.0532669031,16917.7088385894,17657.8978297516,17943.7300981208
"98",2018-05-16,18192.7815959089,17160.3851405272,17364.0881930337,19342.0928267399
"99",2018-05-17,18663.7298056243,18224.1027026395,18568.3804620898,19284.6965825243
"100",2018-05-18,18627.8761095003,18078.7340922252,18484.6496461079,19019.572572206
"101",2018-05-21,19330.0425995702,17557.217699872,19040.4432221686,20736.5044963802
"102",2018-05-22,17943.7436060775,16680.4750490949,17295.8951468367,18915.8482912788
"103",2018-05-23,11345.5996183141,4142.01636395023,4251.03172449518,18703.0765448667
"104",2018-05-24,14617.5188173126,9305.7990014617,9326.66107410432,20052.9643166881
"105",2018-05-25,16475.9424495301,14149.7753910294,14198.8383875621,18910.4559760344
"106",2018-05-28,18526.16843661,14775.8403679547,14834.7264074912,22365.5396101528
"107",2018-05-29,18587.8483500087,14500.88437589,15253.0841471307,22337.427994533
"108",2018-05-30,18802.9187423033,14302.7768844504,14770.1631298027,23540.0199565059
"109",2018-05-31,19341.9096984385,15430.2838223689,15996.7393937536,22995.4767956978
"110",2018-06-01,19038.0107687738,16324.0508178581,16344.2941372915,21892.63298488
"111",2018-06-04,18421.7184249654,16300.1136264257,17111.1421902139,20161.5633040718
"112",2018-06-05,19432.1952016357,17668.2767402304,18041.1653286333,21158.4802553966
"113",2018-06-06,18352.2017521888,15211.5371462522,15272.808555907,21745.8740361639
"114",2018-06-07,19359.1483712327,16380.3455446789,16821.6267273072,22249.3674255213
"115",2018-06-08,20809.9696239037,19147.6595596811,19375.6573271659,22451.2686769052
"116",2018-06-11,19860.6454141292,17192.9516908559,17428.9467485948,22423.5408833355
"117",2018-06-12,19115.2506279859,15775.6810982635,16538.5075590296,22113.4407070929
"118",2018-06-13,19450.9823794687,16043.4950508639,16231.5357690171,22978.0886326367
"119",2018-06-14,19913.2332468589,18023.047703235,18275.8601128831,21727.2259825033
"120",2018-06-15,20774.6456971716,19249.7360965525,19613.7537579202,22471.0169403199
"121",2018-06-18,19736.3861827296,19192.1244597737,19408.1656370373,20441.5438925989
"122",2018-06-19,19560.3928387327,19138.3042287411,19195.1885981416,20706.911324503
"123",2018-06-20,20586.3090515768,20515.0383036862,20522.1286885457,20657.0759133468
