"","Start_Date","mean","q10","q50","q90"
"1",2018-01-01,149633.969267036,107909.820310715,148805.033534135,173522.794059855
"2",2018-01-02,113020.433522999,88078.6987515968,112243.77829154,128848.578955244
"3",2018-01-03,122890.772022472,97156.5320324501,123645.018901263,141072.050105828
"4",2018-01-04,122128.298687578,102278.120855413,124414.540567072,133369.725972872
"5",2018-01-05,88063.1864132577,75929.5345803215,87182.6303860712,94097.2176306126
"6",2018-01-08,109059.485871819,83705.6380447278,109163.68844983,117814.052967667
"7",2018-01-09,90346.9367344764,72307.8616164565,93079.6081298351,98803.9127235518
"8",2018-01-10,110882.475974783,94431.5113709585,107879.763122389,123651.304608663
"9",2018-01-11,103785.484597199,35237.6265448766,111607.816336091,124927.261429682
"10",2018-01-12,80635.7686586001,36982.2470558629,80198.9879183619,95984.9919450942
"11",2018-01-15,135157.641956118,77879.9096621731,136278.846578119,174854.501465315
"12",2018-01-16,102120.428417753,59007.5749244725,108597.051208442,121366.170787371
"13",2018-01-17,116402.718890848,83832.4291219821,120259.046584926,133053.483704183
"14",2018-01-18,116897.19230742,77799.6453549395,118152.648556559,132544.12441112
"15",2018-01-19,87207.4851465943,53321.4788050095,91216.6199677522,105714.772054761
"16",2018-01-22,119562.067918882,14252.3488554211,131597.136164918,150910.417228895
"17",2018-01-23,94955.0488452737,29693.1148444887,101249.291709883,116143.348398023
"18",2018-01-24,113662.105024485,61514.4930628124,118345.919421725,138877.381988514
"19",2018-01-25,110907.177625034,62337.6200582299,116638.255184578,135171.184100948
"20",2018-01-26,84371.4892337555,48586.0191352291,90626.9139927253,99999.905207607
"21",2018-01-29,131435.518502416,63312.1462943888,143722.376384633,155247.578889393
"22",2018-01-30,97978.4074736142,51885.4978237694,106162.595202533,116026.609907826
"23",2018-01-31,114388.809588365,74433.7880028692,120962.642526013,139166.303293102
"24",2018-02-01,114412.972138794,84545.4650486003,118120.006840112,139028.267863447
"25",2018-02-02,84758.4312012471,61550.9161708193,88665.5639923909,104565.018767662
"26",2018-02-05,125758.553400197,62642.7775707517,130499.671804731,153461.233029813
"27",2018-02-06,95050.4000008232,57366.9209387908,97660.5352688968,114446.468448307
"28",2018-02-07,116587.847217438,78400.7540601873,108362.628351824,140246.688146389
"29",2018-02-08,114628.036552678,79182.1185079737,114553.49916433,138719.038353233
"30",2018-02-09,84982.2243042226,55564.050479542,85375.8866511016,96699.7527258451
"31",2018-02-12,129086.340219827,80541.2793792417,130728.41429649,149051.141123331
"32",2018-02-13,101768.361164564,62617.2643843054,105284.216580957,118184.76292758
"33",2018-02-14,120725.31747417,102648.275832919,120754.792703169,134448.062715278
"34",2018-02-15,121249.413161115,95256.3613266061,113569.33710531,146916.71798119
"35",2018-02-16,81139.6284674053,22766.5216954821,83011.6831071464,105794.793844035
"36",2018-02-19,127082.508415288,51336.140910254,133502.548535554,154813.824980603
"37",2018-02-20,95333.1448425166,45220.971887911,97937.3553859859,111791.326820069
"38",2018-02-21,112375.321413647,54212.1276749456,117879.985292895,135101.897170404
"39",2018-02-22,111491.032471042,62701.7863918372,111602.731362779,135051.57703454
"40",2018-02-23,79408.8869349487,40313.3308710487,77817.550466956,100888.779626408
"41",2018-02-26,122061.527072475,59193.5828588401,114429.358238908,151486.601483744
"42",2018-02-27,92849.2591749429,58995.0302003839,87231.7437396484,115235.062927693
"43",2018-02-28,108182.310380692,66936.7066232466,104089.075891362,135138.759378978
"44",2018-03-01,114779.677269331,77660.3439395166,113110.841252164,142823.499516023
"45",2018-03-02,84065.33774477,55200.30150784,78019.1174417648,107054.580851696
"46",2018-03-05,127943.845394407,84404.9055317892,126427.442031168,153727.36012658
"47",2018-03-06,99294.7134316864,73684.1428133649,97903.0196852777,126096.776219845
"48",2018-03-07,111748.044342815,79441.5785757033,110615.497160763,144023.216917858
"49",2018-03-08,115377.103289741,83558.9757793179,109792.326098355,143856.660597614
"50",2018-03-09,81098.4509939698,13507.100029566,83361.4919422721,104194.508287896
"51",2018-03-12,124802.533380487,50661.3643353748,131217.543189906,147310.344233195
"52",2018-03-13,96427.3544039405,50077.9139371743,92648.627817871,117033.648056394
"53",2018-03-14,114509.148945219,65688.5259825891,110340.316326365,133245.571153091
"54",2018-03-15,116378.176997788,74223.0162310584,110542.08320223,140797.055390007
"55",2018-03-16,86486.826261341,47991.8774285189,81927.3766766916,106644.677806686
"56",2018-03-19,131844.774973415,78110.7041025957,126985.993197354,157834.162888917
"57",2018-03-20,104895.175794726,69740.9752027827,96619.3346815765,134009.072836888
"58",2018-03-21,117082.206713925,78835.423008174,108745.358556693,146875.216643194
"59",2018-03-22,112979.40655518,72319.4136702739,110771.547955747,136946.304049522
"60",2018-03-23,84138.3992754843,34640.2759534754,80869.5625040681,116219.084229189
"61",2018-03-26,130095.576726623,76922.7525326665,120995.089090691,165486.576139616
"62",2018-03-27,100185.629855677,65809.1302076497,94081.5570520409,127003.926286744
"63",2018-03-28,116330.34305372,80022.5175391928,109442.487601318,151282.864483795
"64",2018-03-29,115147.921459473,80185.1091648313,113798.630324816,140151.551700283
"65",2018-03-30,82975.8952221546,53205.9267511358,78594.5046821745,110644.759530448
"66",2018-04-02,131029.700215921,95633.0838271366,121584.746057649,176056.838484852
"67",2018-04-03,100063.981800709,73573.0839093729,91279.0704935864,133103.536651827
"68",2018-04-04,115049.989370735,86003.3227422615,102052.264715984,157139.026420838
"69",2018-04-05,110982.949867845,85060.5308932319,102751.377480211,136740.649463066
"70",2018-04-06,85978.8762704518,68784.9590165343,81759.9810577866,109060.07798375
"71",2018-04-09,125802.487573639,102050.462646512,120968.847321118,143894.052056868
"72",2018-04-10,99522.5564534429,77266.6765930156,99875.9268878458,107575.997728531
"73",2018-04-11,113089.463513181,90531.9599978478,111143.732303423,122603.302278906
