"","Start_Date","mean","q10","q50","q90"
"1",2020-01-01,24011.4915373057,20184.0784564676,24605.1967225234,27238.7362024758
"2",2020-01-02,25414.7534724858,22242.8042947803,25560.6043855241,27867.8709609281
"3",2020-01-03,23285.5348889718,16676.0700889499,23355.860004335,26449.6287815854
"4",2020-01-04,17986.4775004192,15044.3670186137,18224.4753497297,19984.4790745821
"5",2020-01-05,19441.740505304,18067.8607720983,19189.1032075608,20938.5173383127
"6",2020-01-06,26081.3691816431,23671.3081067675,25880.676705113,28583.7187116202
"7",2020-01-07,20529.242526789,17698.7978302984,20961.2360801422,22275.7907539435
"8",2020-01-08,23119.7409477806,12838.0110682917,24404.9489302033,26360.9037863221
"9",2020-01-09,23240.5776180517,15517.3774245491,23674.7308605694,27370.1061619862
"10",2020-01-10,22537.9841976468,18967.4446665098,22326.7438740848,25708.1174112172
"11",2020-01-11,17397.5435553182,15028.4417411356,17259.9266909054,19702.7883691079
"12",2020-01-12,17761.8617748367,15929.6888937872,17969.5982869901,18995.5214600306
"13",2020-01-13,26569.1184366967,23512.5138198626,25286.6448005742,31366.0996164271
"14",2020-01-14,21382.2531545589,18552.0197701605,20531.4135320017,25056.5873047574
"15",2020-01-15,25036.9437393667,22076.8259261816,25044.4239727004,27440.6912935483
"16",2020-01-16,25924.8432342956,21521.1304713556,26071.5353809478,28434.5965245469
"17",2020-01-17,23244.9701093874,16466.7912493271,23493.186667481,26302.4013947965
"18",2020-01-18,17725.975017594,13689.0987257381,18126.8041942179,19700.9224158105
"19",2020-01-19,18650.6210127458,15605.0336824953,19030.5068687222,20359.8365362336
"20",2020-01-20,27969.3476281422,24024.4611044686,28420.2116205009,29956.5888088716
"21",2020-01-21,22546.0730828613,20375.0448922078,22834.5009884926,24551.6743258784
"22",2020-01-22,24035.6576644383,20031.7820849941,24277.3025282927,26162.8778939101
"23",2020-01-23,25482.6368103981,23582.0629102628,25221.6068027992,27679.0851379894
"24",2020-01-24,23166.8168730669,18015.5858934966,23204.3257763968,26215.3453975311
"25",2020-01-25,18581.3373542362,17300.1263689633,18496.9160792857,19828.0719006874
"26",2020-01-26,18783.8413810914,16452.3639184828,19059.1361923579,20274.2715939294
"27",2020-01-27,27340.2591769398,25623.8057537121,27214.7914632547,29494.6319142477
"28",2020-01-28,21684.2121291094,18832.542030517,21220.4927244647,23878.2411539875
"29",2020-01-29,23931.9297511243,21989.045269842,23987.0387162429,25703.3920489531
"30",2020-01-30,25546.126433562,23517.8515855523,25271.4809755517,26657.1471007449
"31",2020-01-31,24023.5411940639,22320.9018412301,23959.5694738811,25922.5155521733
"32",2020-02-01,18340.5775247429,17016.4691968321,18305.5618765812,19859.8062320794
"33",2020-02-02,17730.3115558443,11576.5672123513,18357.6027023482,19514.9176413716
"34",2020-02-03,26271.4761542053,21373.5961139982,27110.0978512373,28744.1985073497
"35",2020-02-04,21591.6614564824,19448.1033712626,21783.7604687418,22753.0354212577
"36",2020-02-05,24618.7849064534,20307.5299660279,25507.2544114772,26738.776521775
"37",2020-02-06,25028.5661014995,22551.7639195804,25066.4212153909,27327.358919798
"38",2020-02-07,22908.9573364684,15509.12142068,23736.1686590416,24865.9940564973
"39",2020-02-08,17735.6816050232,15277.6668646742,17987.0091407222,19332.0687010966
"40",2020-02-09,17976.1113425146,14830.2309249134,18038.6439151772,20588.5904277939
"41",2020-02-10,26521.1583816922,23626.1186267433,26933.9738083437,28877.5812600699
