"","Start_Date","mean","q10","q50","q90"
"1",2020-01-01,53368.09751308,43389.1363673876,53035.2171956046,60832.2051939253
"2",2020-01-02,49895.4029089199,48492.1794757992,49917.7191966493,50919.5920072842
"3",2020-01-03,47327.1789704312,46532.2748472175,47277.3843094382,48103.63774351
"4",2020-01-04,40552.5516346939,38911.8299927558,40515.6385888304,41800.0219212691
"5",2020-01-05,50623.9116517201,49104.884105245,50669.0058177451,51837.6867538479
"6",2020-01-06,56174.4230689638,54616.0842933388,56091.9041732821,57611.7791317074
"7",2020-01-07,56755.8189468835,55330.3920000656,56760.2997864262,58180.2159972971
"8",2020-01-08,52185.8194607088,49353.4364111711,52222.2731137567,54304.9246513591
"9",2020-01-09,49729.9611092582,48154.6864994626,49779.2865586444,51112.7298367627
"10",2020-01-10,47172.613859092,45752.8583819841,47074.196924852,48606.6986952324
"11",2020-01-11,40665.1457404618,39159.8326014163,40660.5197208533,42122.8963134218
"12",2020-01-12,50084.8877420951,48802.5182611391,49990.5525985126,51542.0779009183
"13",2020-01-13,56067.563442509,54637.6128855883,56156.4879972975,57352.7342505783
"14",2020-01-14,57014.8242105472,55265.7968411884,56956.9250019137,58605.0853378129
"15",2020-01-15,52165.4784017752,50114.8777170725,52157.379703208,54533.1038723517
"16",2020-01-16,49699.1428512807,47897.2667556467,49854.1894791338,51419.3970317329
"17",2020-01-17,47577.5079018999,46469.6781838205,47509.381319569,49005.3364959707
"18",2020-01-18,40629.9896968332,39392.1763350753,40515.0479953604,42087.9284295718
"19",2020-01-19,50194.554614464,48899.4391010769,50075.4975883442,51612.5538670586
"20",2020-01-20,57443.7986337858,54441.1904467086,56061.13960507,58715.9371621117
"21",2020-01-21,56945.2443409005,55229.927004528,56447.2727595789,59317.6976625151
"22",2020-01-22,52053.8520422328,49338.2201219574,52129.826016242,54705.4453965394
"23",2020-01-23,49822.8165341373,48194.8630378076,49485.0084084853,51832.990369605
"24",2020-01-24,47249.6190585878,45673.2297732236,46932.3541579316,49302.4849183978
"25",2020-01-25,40562.104570754,38425.7447307616,40509.9726553083,42575.2298519929
"26",2020-01-26,49970.9071754828,48471.6210004061,49633.6378910314,51906.8551275022
"27",2020-01-27,56137.6498613152,54154.7524105374,55689.5534349361,57637.7449625783
"28",2020-01-28,56775.0809570523,54535.0850818266,56230.9758502954,59208.1402938606
"29",2020-01-29,52140.3701325539,49658.7233561117,51936.6533653139,55346.0694624307
"30",2020-01-30,49792.6989649292,47618.1584216196,49394.6080975715,52846.8995386161
"31",2020-01-31,47243.6398197991,45540.7850240346,47181.4203465505,48899.110195224
"32",2020-02-01,40532.4891781024,39014.2682095209,40365.7348685134,42493.814842069
"33",2020-02-02,50092.8646690451,48396.326455368,49931.1690301576,52234.7669831549
"34",2020-02-03,56068.3648775788,54015.7551697624,55624.4945505749,58137.5311722175
"35",2020-02-04,56898.2462195102,53936.124543487,56794.5223016183,59153.634495563
"36",2020-02-05,52168.4355384746,49746.1052330118,51858.3380192905,53975.7090449784
"37",2020-02-06,49684.368227231,47842.9479279403,49329.4552074329,52035.5283463248
"38",2020-02-07,47504.5129913683,46249.4194560091,47291.0131996218,49309.764427961
"39",2020-02-08,40623.1582984764,39098.1195362685,40370.7019957263,42901.4904436257
"40",2020-02-09,50367.9272346253,48007.432305601,50081.5679429834,53300.3310086348
"41",2020-02-10,55982.5933422323,53590.4986224743,55362.8452454483,57999.585563232
"42",2020-02-11,57049.5187763183,55260.4699149797,56772.2387050929,59336.8476088294
"43",2020-02-12,52220.6387794479,49531.8820106989,51752.8946537247,54923.9367756442
"44",2020-02-13,49820.3861702988,47883.408419524,49381.7554621681,51977.3569193951
"45",2020-02-14,47441.9908627712,45676.9992157578,47019.6272906017,49847.7355535827
"46",2020-02-15,40603.1834829735,38959.1228426222,40283.0741496423,42539.748072071
"47",2020-02-16,50342.2918544847,48518.6675693309,49838.8784710483,52583.0617489119
"48",2020-02-17,56208.358735465,53970.2045752742,55591.3237938539,58914.588797174
"49",2020-02-18,56891.0102733127,54867.9993958364,56217.9553737913,59259.4844066699
"50",2020-02-19,52079.1616201615,49367.9412777433,51864.9671157678,54369.5435432795
"51",2020-02-20,49835.1698590097,47952.4414319301,49520.3585301687,51361.0827398904
"52",2020-02-21,47408.8380649601,45474.8516075896,47302.0279580005,49478.2122874457
"53",2020-02-22,40433.6223155395,38759.2912623346,40059.0871734875,42767.9543929916
"54",2020-02-23,50287.6275312236,48351.3723962412,49908.0226306381,53079.476408346
"55",2020-02-24,56336.5504387326,53728.7101827059,55507.1398780726,59263.4828498597
"56",2020-02-25,56948.998172611,54907.2640198855,56492.4527688295,58562.2780553661
"57",2020-02-26,52323.014041916,49621.2815073245,52155.5150334629,54613.5205859014
"58",2020-02-27,49896.8523644872,48307.5507638262,49365.8616013499,52132.2641576111
"59",2020-02-28,47013.7988969019,44977.7333850915,46448.1241296354,49126.3283837711
"60",2020-02-29,40464.9187158967,38620.3535091414,40210.0736203199,41877.36273223
"61",2020-03-01,49979.5710971372,47464.44812974,49582.5263407311,51972.3929755417
"62",2020-03-02,56113.3244323343,53504.8663533535,55387.4386133818,58767.9895271041
"63",2020-03-03,56682.4717558407,54516.5064850529,56096.9747304428,58785.3714706836
"64",2020-03-04,52052.1666468944,49195.4521564672,51886.0300825567,54226.0310538693
"65",2020-03-05,49587.3490490545,47566.331464564,48901.9364883629,51598.4172728223
"66",2020-03-06,46713.7972541239,44564.5222676516,46269.0986122745,49298.0949057232
"67",2020-03-07,40316.1510784111,38611.5339168617,40024.3381840286,41617.9814950524
"68",2020-03-08,50222.1721849782,48338.7247430855,49868.0186920937,52523.1347470895
"69",2020-03-09,55761.5102179353,53268.7630756448,54766.4001261427,58729.2600141617
"70",2020-03-10,56822.3960929243,54378.6536823543,56482.8386434259,59299.9790549936
"71",2020-03-11,51264.2695650815,49438.4046103682,51208.816072261,53056.3136574696
"72",2020-03-12,49434.1801700976,47097.2722680668,49406.3035697661,51891.5480422508
"73",2020-03-13,47220.9834867937,45324.9500232391,46971.4797746802,50030.5644434496
"74",2020-03-14,40294.5024384972,38629.4913210709,39840.3293542397,42425.9542847345
